0,24,4,6,1597,1,4,4,0,4,0,54,0,0,2,2,2,0,1,0,0,0
2,18,4,3,1795,1,4,3,2,4,1,48,1,1,2,1,1,1,1,1,1,0
1,20,4,2,4272,1,4,1,0,4,2,24,0,2,2,2,1,0,1,1,1,0
0,12,4,3,976,0,4,4,0,4,3,35,0,2,2,2,1,0,1,0,0,0
2,12,2,0,7472,0,0,1,0,2,1,24,0,1,1,0,1,0,1,1,1,0
1,36,2,0,9271,1,3,2,0,1,3,24,0,2,1,2,1,1,1,0,0,1
2,6,2,3,590,1,1,3,0,3,1,26,0,2,1,1,1,0,0,0,1,0
0,12,4,3,930,0,4,4,0,4,1,65,0,2,4,2,1,0,1,0,0,0
2,42,1,1,9283,1,0,1,0,2,0,55,1,0,1,3,1,1,1,0,0,0
2,15,0,0,1778,1,1,2,0,1,1,26,0,1,2,0,1,0,1,1,1,1
2,8,2,9,907,1,1,3,0,2,1,26,0,2,1,2,1,1,1,0,1,0
2,6,2,3,484,1,3,3,2,3,1,28,1,2,1,1,1,0,1,0,1,0
1,36,4,1,9629,1,3,4,0,4,3,24,0,2,2,2,1,1,1,0,0,1
1,48,2,4,3051,1,2,3,0,4,3,54,0,2,1,2,1,0,1,0,0,1
1,48,2,0,3931,1,3,4,0,4,0,46,0,0,1,2,2,0,1,0,0,1
2,36,3,0,7432,1,2,2,0,2,2,54,0,1,1,2,1,0,1,1,1,0
0,6,2,4,1338,3,2,1,0,4,1,62,0,2,1,2,1,0,1,0,1,0
0,6,4,3,1554,1,3,1,0,2,3,24,0,1,2,2,1,1,1,1,1,0
1,36,2,10,15857,1,0,2,1,3,3,43,0,2,1,3,1,0,1,0,1,0
1,18,2,3,1345,1,2,4,0,3,1,26,1,2,1,2,1,0,1,0,1,1
0,12,2,0,1101,1,2,3,0,2,1,27,0,2,2,2,1,1,1,0,1,0
3,12,2,3,3016,1,2,3,0,1,3,24,0,2,1,2,1,0,1,0,1,0
1,36,2,2,2712,1,4,2,0,2,2,41,1,2,1,2,2,0,1,0,0,1
1,8,4,0,731,1,4,4,0,4,1,47,0,2,2,1,1,0,1,0,0,0
0,18,4,2,3780,1,1,3,0,2,3,35,0,2,2,3,1,1,1,0,1,0
1,21,4,0,1602,1,4,4,0,3,3,30,0,2,2,2,1,1,1,0,1,0
1,18,4,0,3966,1,4,1,0,4,1,33,1,1,3,2,1,1,1,1,1,1
0,18,0,9,4165,1,2,2,0,2,3,36,2,2,2,2,2,0,1,0,0,1
1,36,2,1,8335,0,4,3,0,4,0,47,0,0,1,2,1,0,1,0,0,1
2,48,3,9,6681,0,2,4,0,4,0,38,0,0,1,2,2,1,1,0,0,0
0,24,3,9,2375,3,2,4,0,2,3,44,0,2,2,2,2,1,1,0,0,0
1,18,2,0,1216,1,1,4,0,3,3,23,0,1,1,2,1,1,1,1,1,1
